d,Average N of Cl (positive z),Average N of Cl (negative z),Average N of Na (positive z),Average N of Na (negative z)
0.125,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0
2.375,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.625,0.052,0.060333333333333336,0.10466666666666667,0.10633333333333334
2.75,5.2043333333333335,5.1946666666666665,6.4126666666666665,6.2443333333333335
2.875,34.091,34.07066666666667,33.677,33.697
3.0,41.309333333333335,41.10333333333333,38.98466666666667,39.09466666666667
3.125,14.994333333333334,15.133,15.621333333333334,15.665666666666667
3.25,2.194,2.2706666666666666,2.913666666666667,2.8903333333333334
3.375,0.15,0.162,0.27366666666666667,0.2866666666666667
3.5,0.005,0.005333333333333333,0.012,0.014666666666666666
3.625,0.0,0.0,0.0003333333333333333,0.0003333333333333333
3.75,0.0,0.0,0.0,0.0
3.875,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.125,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0
4.375,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.625,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0
4.875,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.125,0.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0003333333333333333,0.0003333333333333333
5.375,0.018,0.017,0.05566666666666667,0.050333333333333334
5.5,0.6266666666666667,0.63,1.177,1.1573333333333333
5.625,6.2796666666666665,6.191666666666666,7.713,7.678
5.75,21.328666666666667,21.204,20.224,20.130333333333333
5.875,31.119333333333334,31.077,27.367,27.393
6.0,23.397333333333332,23.522333333333332,22.451666666666668,22.327333333333332
6.125,10.701333333333332,10.770666666666667,12.196,12.260666666666667
6.25,3.403,3.43,4.805,4.891333333333334
6.375,0.8853333333333333,0.8976666666666666,1.4956666666666667,1.5426666666666666
6.5,0.19466666666666665,0.197,0.408,0.446
6.625,0.038,0.048666666666666664,0.08933333333333333,0.10033333333333333
6.75,0.007,0.011666666666666667,0.013333333333333334,0.018666666666666668
6.875,0.001,0.002,0.003,0.003
7.0,0.0,0.0003333333333333333,0.0006666666666666666,0.0003333333333333333
7.125,0.0,0.0,0.0003333333333333333,0.0003333333333333333
7.25,0.0,0.0,0.0,0.0
7.375,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
7.625,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0
7.875,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.125,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0
8.375,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.625,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0
8.875,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.125,0.0,0.0,0.0,0.0
9.25,0.0,0.0,0.0,0.0
9.375,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
9.625,0.0,0.0,0.0,0.0
9.75,0.0,0.0,0.0,0.0
9.875,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
10.125,0.0,0.0,0.0,0.0
10.25,0.0,0.0,0.0,0.0
10.375,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0
10.625,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0
10.875,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
11.125,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0
11.375,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0
11.625,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0
11.875,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
12.125,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0
12.375,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0
12.625,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0
12.875,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
13.125,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0
13.375,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0
13.625,0.0,0.0,0.0,0.0
13.75,0.0,0.0,0.0,0.0
13.875,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
