,Average N of H (positive z),Average N of H (negative z),Average Density (positive z),Average Density (negative z)
1.78271213799185,6.208333333333333,6.37,0.47318907402639643,0.48551104454466765
1.90771213799185,7.564,7.759666666666667,0.5765157835064154,0.5914291787522408
2.03271213799185,11.494333333333334,11.698666666666666,0.8760794007866968,0.8916533552768005
2.15771213799185,14.519,14.587666666666667,1.1066145770398792,1.1118482387445472
2.28271213799185,15.397333333333334,15.465666666666667,1.173559715835023,1.1787679714149109
2.40771213799185,14.556,14.712,1.1094346568904525,1.1213247232874648
2.53271213799185,13.883333333333333,13.894,1.058165097084532,1.0589780930774904
2.65771213799185,14.730666666666666,14.783,1.1227474662751415,1.1267362278655924
2.78271213799185,17.970333333333333,17.858666666666668,1.3696695930113856,1.3611585412101057
2.90771213799185,21.803333333333335,21.850666666666665,1.6618146218559244,1.6654222915746757
3.03271213799185,24.485,24.486,1.8662068957105475,1.8662831140848875
3.15771213799185,24.589,24.506,1.874133606641889,1.8678074815716843
3.28271213799185,22.055,22.396,1.6809962460647796,1.7069867117146589
3.40771213799185,18.328333333333333,18.521,1.396955771025042,1.4116405111478478
3.53271213799185,14.533666666666667,14.735,1.1077324465301965,1.123077745897281
3.65771213799185,11.624333333333333,11.689,0.8859877894508738,0.8909165776581821
3.78271213799185,9.742333333333333,9.751333333333333,0.7425448089433282,0.7432307743123867
3.90771213799185,8.476,8.593,0.6460269409043334,0.6549444907020926
4.03271213799185,7.505333333333334,7.637666666666667,0.5720443055451458,0.5821305370827824
4.15771213799185,6.854,7.091666666666667,0.5224007377251416,0.5405153046932394
4.28271213799185,6.544666666666667,6.899333333333334,0.49882385392935663,0.5258559706952136
4.40771213799185,6.4863333333333335,6.738666666666667,0.49437778209286704,0.5136102185512822
4.53271213799185,6.4656666666666665,6.765333333333333,0.49280260235651074,0.5156427085336774
4.65771213799185,6.494666666666666,6.749,0.4950129352123655,0.5143978084194604
4.78271213799185,6.520666666666667,6.8646666666666665,0.496994612945201,0.5232137337180998
4.90771213799185,6.509333333333333,6.903333333333333,0.49613080470268284,0.5261608441925729
5.03271213799185,6.312666666666667,6.857666666666667,0.4811411910825179,0.5226802050977211
5.15771213799185,6.312,6.813666666666666,0.48109037883295797,0.5193265966267688
5.28271213799185,6.185,6.722,0.4714106452918005,0.5123399123122852
5.40771213799185,6.004333333333333,6.531,0.45764052566107266,0.497782202813379
5.53271213799185,5.6306666666666665,6.094666666666667,0.4291602597827591,0.46452558547643674
5.65771213799185,5.1193333333333335,5.544666666666667,0.39018726437032997,0.4226054795895344
5.78271213799185,4.621,4.969666666666667,0.35220510782431863,0.37877991434413666
5.90771213799185,4.161333333333333,4.405333333333333,0.3171700617527803,0.3357673450916969
6.03271213799185,3.6723333333333334,3.894,0.2798992767006072,0.2967943496792678
6.15771213799185,3.342,3.5913333333333335,0.25472180704368597,0.2737255883790817
6.28271213799185,3.0063333333333335,3.169,0.22913783939028562,0.24153602828289672
6.40771213799185,2.6936666666666667,2.938,0.20530689434670116,0.22392958381039776
6.53271213799185,2.3913333333333333,2.663,0.18226353917129492,0.20296953086694663
6.65771213799185,2.1866666666666665,2.365,0.16666417855641133,0.18025645531367962
6.78271213799185,1.9253333333333333,2.1466666666666665,0.14674577672893774,0.16361544358281843
6.90771213799185,1.7916666666666667,1.939,0.13655792069218153,0.14778742784491533
7.03271213799185,1.5563333333333333,1.7403333333333333,0.11862119659754335,0.13264537747607064
7.15771213799185,1.3803333333333334,1.528,0.10520676271373464,0.1164616759912484
7.28271213799185,1.285,1.3423333333333334,0.09794061102667158,0.10231046448882139
7.40771213799185,1.0986666666666667,1.2116666666666667,0.0837385872746847,0.09235126357508461
7.53271213799185,1.0043333333333333,1.0766666666666667,0.07654865396196148,0.08206178303920862
7.65771213799185,0.8713333333333333,0.912,0.06641161017476511,0.0695111573979179
7.78271213799185,0.768,0.8046666666666666,0.058535711492983485,0.06133038521877696
7.90771213799185,0.656,0.7043333333333334,0.04999925356692339,0.0536831416600148
8.032712137991851,0.552,0.6226666666666667,0.042072542635581876,0.04745864108892932
8.157712137991851,0.45866666666666667,0.5193333333333333,0.03495882769719847,0.03958274240714768
