,Average N of H (positive z),Average N of H (negative z),Average Density (positive z),Average Density (negative z)
0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.125,0.0003333333333333333,0.0,2.540612477994075e-05,0.0
1.25,0.0016666666666666668,0.0036666666666666666,0.00012703062389970375,0.00027946737257934827
1.375,0.029,0.03233333333333333,0.002210332855854845,0.0024643941036542527
1.5,0.296,0.29033333333333333,0.02256063880458738,0.02212873468332839
1.625,1.2116666666666667,1.2243333333333333,0.09235126357508461,0.09331669631672238
1.75,3.2756666666666665,3.381666666666667,0.2496659882124777,0.2577451358924989
1.875,6.57,6.769666666666667,0.5007547194126322,0.5159729881558167
2.0,10.485666666666667,10.717333333333332,0.7992004672025962,0.8168577239246548
2.125,13.901333333333334,13.925666666666666,1.0595370278226488,1.0613916749315846
2.249999999999999,15.286666666666667,15.36,1.1651248824080827,1.1707142298596698
2.374999999999999,14.830666666666668,15.015,1.1303693037091238,1.1444188907124309
2.499999999999999,13.925,13.974666666666666,1.0613408626820247,1.065126375274236
2.624999999999999,14.295,14.343666666666667,1.089541661187759,1.0932509554056307
2.749999999999999,16.88,16.879666666666665,1.2865661588561994,1.2865407527314192
2.874999999999999,20.840333333333334,20.709333333333333,1.5884163273666754,1.5784317203281588
2.999999999999999,24.071,24.016666666666666,1.8346524887338613,1.8305112903947307
3.124999999999999,24.82133333333333,24.764,1.891841675613508,1.8874718221513582
3.249999999999999,22.866,23.169666666666668,1.7428093476543753,1.7659543273289016
3.374999999999999,19.33566666666667,19.623333333333335,1.473733080110023,1.495658565795112
3.499999999999999,15.533333333333333,15.777,1.183925414745239,1.2024972919593755
3.624999999999999,12.346333333333334,12.389,0.9410174557242252,0.9442694396960577
3.749999999999999,10.227666666666666,10.26,0.7795361266229219,0.7820005207265762
3.874999999999999,8.734666666666667,8.817,0.6657420937335675,0.6720174065542128
3.999999999999999,7.739333333333334,7.822,0.5898794051406643,0.5961801240860896
4.124999999999999,6.991,7.2603333333333335,0.5328426550096973,0.5533708038318894
4.249999999999999,6.629333333333333,6.926,0.5052770096234616,0.5278884606776089
4.374999999999999,6.448333333333333,6.704,0.49148148386795365,0.5109679815741683
4.499999999999999,6.4303333333333335,6.826333333333333,0.490109553129837,0.5202920293684066
4.624999999999999,6.544333333333333,6.727,0.4987984478045767,0.5127210041839843
4.749999999999999,6.514333333333333,6.812666666666667,0.496511896574382,0.5192503782524289
4.874999999999999,6.5296666666666665,6.876,0.4976805783142592,0.5240775419606177
4.999999999999999,6.363333333333333,6.8486666666666665,0.4850029220490688,0.5219942397286627
5.124999999999999,6.299333333333333,6.898666666666666,0.4801249460913202,0.5258051584456537
5.249999999999999,6.222666666666667,6.7396666666666665,0.47428153739193385,0.5136864369256219
5.374999999999999,6.050333333333334,6.617,0.4611465708807045,0.5043369830066038
5.499999999999999,5.7876666666666665,6.208333333333333,0.4411265445541112,0.47318907402639643
5.624999999999999,5.23,5.713,0.39862209779727037,0.43543557260340454
5.749999999999999,4.78,5.108666666666666,0.36432382934435037,0.3893742683773719
5.874999999999999,4.2763333333333335,4.592,0.3259351748018599,0.3499947749684637
5.999999999999999,3.7956666666666665,3.9833333333333334,0.2892995428691853,0.30360319112029194
6.124999999999999,3.445333333333333,3.714,0.2625977057254676,0.2830750422980999
6.249999999999999,3.081,3.246,0.23482881134099234,0.24740484310706298
6.374999999999999,2.7716666666666665,2.994666666666667,0.21125192754520733,0.22824862502298765
6.499999999999999,2.497,2.714,0.19031728072653611,0.20685666795827756
6.624999999999999,2.228666666666667,2.493,0.16986535027868385,0.19001240722917684
6.749999999999999,1.9723333333333333,2.193,0.15032804032290936,0.1671468949272302
6.874999999999999,1.8336666666666666,1.9893333333333334,0.13975909241445406,0.1516237526866864
6.999999999999999,1.6033333333333333,1.799,0.12220346019151498,0.13711685543734023
7.124999999999999,1.4516666666666667,1.563,0.11064367341664194,0.11912931909314216
7.249999999999999,1.3126666666666666,1.3833333333333333,0.10004931938340667,0.1054354178367541
7.374999999999999,1.122,1.2533333333333334,0.08551701600928056,0.09552702917257723
7.499999999999999,1.0543333333333333,1.12,0.08035957267895259,0.08536457926060093
7.624999999999999,0.8936666666666667,0.9626666666666667,0.06811382053502114,0.07337288836446887
7.749999999999999,0.8016666666666666,0.8293333333333334,0.06110173009575749,0.06321043845249258
7.874999999999999,0.6843333333333333,0.7113333333333334,0.05215877417321836,0.05421667028039356
7.999999999999999,0.5833333333333334,0.668,0.044460718364896304,0.05091387405900126
8.125,0.4766666666666667,0.527,0.036330758435315275,0.040167083277086325
8.25,0.117,0.145,0.008917549797759204,0.011051664279274225
