d,Average N of Cl (positive z),Average N of Cl (negative z),Average N of Na (positive z),Average N of Na (negative z)
0.125,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0
2.375,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.625,0.051333333333333335,0.053,0.10266666666666667,0.112
2.75,5.191666666666666,5.161666666666667,6.3613333333333335,6.2843333333333335
2.875,34.17,34.07266666666667,33.588,33.424
3.0,41.232,41.153,39.03033333333333,39.033
3.125,15.003,15.101333333333333,15.740666666666666,15.908333333333333
3.25,2.1843333333333335,2.272666666666667,2.876,2.925
3.375,0.16233333333333333,0.176,0.2843333333333333,0.2946666666666667
3.5,0.005,0.008666666666666666,0.015666666666666666,0.017666666666666667
3.625,0.0003333333333333333,0.001,0.001,0.001
3.75,0.0,0.0,0.0,0.0
3.875,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.125,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0
4.375,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.625,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0
4.875,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.125,0.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0,0.0
5.375,0.013333333333333334,0.013666666666666667,0.045,0.043666666666666666
5.5,0.615,0.5753333333333334,1.103,1.139
5.625,6.188,5.996666666666667,7.569333333333334,7.608333333333333
5.75,21.313,21.220333333333333,20.296,20.163666666666668
5.875,31.195,31.148333333333333,27.82,27.413
6.0,23.294333333333334,23.406,22.480333333333334,22.493666666666666
6.125,10.658666666666667,10.828666666666667,11.93,12.171666666666667
6.25,3.4806666666666666,3.5383333333333336,4.733,4.882
6.375,0.939,0.9663333333333334,1.5053333333333334,1.5423333333333333
6.5,0.23066666666666666,0.23833333333333334,0.3963333333333333,0.42533333333333334
6.625,0.057666666666666665,0.051666666666666666,0.09266666666666666,0.091
6.75,0.012666666666666666,0.011666666666666667,0.02266666666666667,0.020666666666666667
6.875,0.0013333333333333333,0.0036666666666666666,0.005666666666666667,0.004666666666666667
7.0,0.0006666666666666666,0.001,0.0006666666666666666,0.0003333333333333333
7.125,0.0,0.0,0.0,0.0006666666666666666
7.25,0.0,0.0,0.0,0.0
7.375,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
7.625,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0
7.875,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.125,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0
8.375,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.625,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0
8.875,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.125,0.0,0.0,0.0,0.0
9.25,0.0,0.0,0.0,0.0
9.375,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
9.625,0.0,0.0,0.0,0.0
9.75,0.0,0.0,0.0,0.0
9.875,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
10.125,0.0,0.0,0.0,0.0
10.25,0.0,0.0,0.0,0.0
10.375,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0
10.625,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0
10.875,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
11.125,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0
11.375,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0
11.625,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0
11.875,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
12.125,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0
12.375,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0
12.625,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0
12.875,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
13.125,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0
13.375,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0
13.625,0.0,0.0,0.0,0.0
13.75,0.0,0.0,0.0,0.0
13.875,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
